Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Spring Ridge WF,-,131.53,134.24,139.03,136.69,0,481.3998,489.976,507.4595,500.2854,0,2%,4%,-1%,-100%
Stoke Heights Wind Farm,-,105.58,111.69,115.67,113.72,0,386.4228,407.6685,422.1955,416.2152,0,5%,4%,-1%,-100%
Streetfield STOR,-,4.47,4.72,0,0,0,16.3602,17.228,0,0,0,5%,-100%,0%,0%
"Stud Farm, Sutton-on-Trent",-,2.88,3,3.11,0,0,10.5408,10.95,11.3515,0,0,4%,4%,-100%,0%
Sutton Elms STOR,-,8.67,9.13,0,0,0,31.7322,33.3245,0,0,0,5%,-100%,0%,0%
Swift Wind Farm,-,3.87,4.06,4.21,4.13,0,14.1642,14.819,15.3665,15.1158,0,5%,4%,-2%,-100%
Tathall End Solar Farm,-,18.2,19.2,19.89,19.55,0,66.612,70.08,72.5985,71.553,0,5%,4%,-1%,-100%
Thornton Estate STOR,-,8.01,8.38,0,0,0,29.3166,30.587,0,0,0,4%,-100%,0%,0%
Tutbury Solar Farm,-,43.24,45.47,47.09,46.3,0,158.2584,165.9655,171.8785,169.458,0,5%,4%,-1%,-100%
Walworth farm EES,-,41.35,42.09,0,0,0,151.341,153.6285,0,0,0,2%,-100%,0%,0%
Whaddon 2872,-,1.01,0,1.09,1.07,0,3.6966,0,3.9785,3.9162,0,-100%,0%,-2%,-100%
Whitfield Hs Fm STOR,-,7.84,8.15,0,0,0,28.6944,29.7475,0,0,0,4%,-100%,0%,0%
Whitsundoles Solar Farm,-,19.88,20.96,21.7,21.34,0,72.7608,76.504,79.205,78.1044,0,5%,4%,-1%,-100%
Wide Lane Solar Farm,-,4.61,4.81,4.99,4.9,0,16.8726,17.5565,18.2135,17.934,0,4%,4%,-2%,-100%
Willow Park Farm Generation,-,29.12,30.65,0,0,0,106.5792,111.8725,0,0,0,5%,-100%,0%,0%
Wilsthorpe Farm,-,3.83,7.46,7.73,0,0,14.0178,27.229,28.2145,0,0,94%,4%,-100%,0%
Jaguar Land Rover Gaydon,4,4877.51,5170.93,68087.72,43448.7,52430.55,17851.6866,18873.8945,248520.178,159022.242,191371.5075,6%,1217%,-36%,20%
Jaguar Land Rover Whitley,4,6048.48,6415.13,69376.27,44715.53,69372.99,22137.4368,23415.2245,253223.3855,163658.8398,253211.4135,6%,981%,-35%,55%
West End Fm Treswell PV,1,3.67,3.81,3.95,1483.54,1834.54,13.4322,13.9065,14.4175,5429.7564,6696.071,4%,4%,37561%,23%
Thornborough Grnds PV,1,18.65,19.58,20.27,1499.59,1848.66,68.259,71.467,73.9855,5488.4994,6747.609,5%,4%,7318%,23%
Brafield on the Green PV,1,49.62,52.37,54.23,1532.98,1899.06,181.6092,191.1505,197.9395,5610.7068,6931.569,5%,4%,2735%,24%
Sywell PV,1,69.42,73.43,76.05,1554.43,1864.65,254.0772,268.0195,277.5825,5689.2138,6805.9725,5%,4%,1950%,20%
Derby Waste Sinfin EFW,2,753.78,795.88,824.25,9674.92,13378.93,2758.8348,2904.962,3008.5125,35410.2072,48833.0945,5%,4%,1077%,38%
Barnby Moor Retford PV,1,2.02,2.06,2.13,1481.76,1892.28,7.3932,7.519,7.7745,5423.2416,6906.822,2%,3%,69657%,27%
RAF Cranwell High G,1,516.94,540.84,7940.85,2030.34,2134.43,1892.0004,1974.066,28984.1025,7431.0444,7790.6695,4%,1368%,-74%,5%
Bilsthorpe PV,1,12.69,5.75,5.96,1493.21,1898.4,46.4454,20.9875,21.754,5465.1486,6929.16,-55%,4%,25022%,27%
Glebe Farm Podington PV,1,98.25,103.87,107.57,1585.42,1913.61,359.595,379.1255,392.6305,5802.6372,6984.6765,5%,4%,1378%,20%
Chelveston Renewable PV,1,8.23,8.4,8.7,1488.21,1843.09,30.1218,30.66,31.755,5446.8486,6727.2785,2%,4%,17053%,24%
Decoy Farm Crowland PV,1,9,9.37,9.71,1489.2,1836.15,32.94,34.2005,35.4415,5450.472,6701.9475,4%,4%,15279%,23%
Network Rail Bytham,2,5194.61,5287.79,21826.34,14405.22,19637.31,19012.2726,19300.4335,79666.141,52723.1052,71676.1815,2%,313%,-34%,36%
Network Rail Grantham,2,2314.33,2307.54,18422.08,11053.01,15298.99,8470.4478,8422.521,67240.592,40454.0166,55841.3135,-1%,698%,-40%,38%
Network Rail Staythorpe,2,70.55,70.34,16256.8,8929.39,12475.81,258.213,256.741,59337.32,32681.5674,45536.7065,-1%,23012%,-45%,39%
Network Rail Retford,2,3294.17,3322.99,19375.99,11988.56,17095.31,12056.6622,12128.9135,70722.3635,43878.1296,62397.8815,1%,483%,-38%,42%
Jaguar Cars,1,287.86,297.06,7688.38,1782.13,1961.05,1053.5676,1084.269,28062.587,6522.5958,7157.8325,3%,2488%,-77%,10%
Alstom Frankton,1,3599.85,3769.09,11284.16,5317.3,6269.63,13175.451,13757.1785,41187.184,19461.318,22884.1495,4%,199%,-53%,18%
University of Warwick,2,287.86,152.99,16349.15,9020.34,18060.38,1053.5676,558.4135,59674.3975,33014.4444,65920.387,-47%,10586%,-45%,100%
Dunlop Factory,2,287.86,297.06,23629.31,12751.89,12530.53,1053.5676,1084.269,86246.9815,46671.9174,45736.4345,3%,7854%,-46%,-2%
