Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
CRUMLIN 33kV GEN,-,15.97,0,0,0,0,58.4502,0,0,0,0,-100%,0%,0%,0%
PEN BRYN OER 33kV GEN,-,37.62,0,0,0,0,137.6892,0,0,0,0,-100%,0%,0%,0%
Rudbaxton,-,7.47,0,0,0,0,27.3402,0,0,0,0,-100%,0%,0%,0%
Trident Park,-,986.67,0,0,0,0,3611.2122,0,0,0,0,-100%,0%,0%,0%
Baglan PV,-,6.82,0,0,0,0,24.9612,0,0,0,0,-100%,0%,0%,0%
Whitland (Caermelyn),-,6.25,0,0,0,0,22.875,0,0,0,0,-100%,0%,0%,0%
Liddlestone Ridge,-,3.33,0,0,0,0,12.1878,0,0,0,0,-100%,0%,0%,0%
Garn farm,-,40.36,0,0,0,0,147.7176,0,0,0,0,-100%,0%,0%,0%
Treguff Farm,-,16.45,0,0,0,0,60.207,0,0,0,0,-100%,0%,0%,0%
Loughor Farm,-,4.13,0,0,0,0,15.1158,0,0,0,0,-100%,0%,0%,0%
Sutton Farm,-,14.57,0,0,0,0,53.3262,0,0,0,0,-100%,0%,0%,0%
Cefn Betingau,-,1.74,0,0,0,0,6.3684,0,0,0,0,-100%,0%,0%,0%
Clawdd Ddu,-,2.26,0,0,0,0,8.2716,0,0,0,0,-100%,0%,0%,0%
Pentre Farm,-,168.35,0,0,0,0,616.161,0,0,0,0,-100%,0%,0%,0%
Fenton Farm,-,3.31,0,0,0,0,12.1146,0,0,0,0,-100%,0%,0%,0%
Yerbeston Gate,-,13.23,0,0,0,0,48.4218,0,0,0,0,-100%,0%,0%,0%
Pen y cae,-,6.03,0,0,0,0,22.0698,0,0,0,0,-100%,0%,0%,0%
Saron,-,11.74,0,0,0,0,42.9684,0,0,0,0,-100%,0%,0%,0%
Hendre Fawr Farm,-,2.01,0,0,0,0,7.3566,0,0,0,0,-100%,0%,0%,0%
Hendai Farm,-,3.95,0,0,0,0,14.457,0,0,0,0,-100%,0%,0%,0%
Cwm Cae Singrug,-,6.8,0,0,0,0,24.888,0,0,0,0,-100%,0%,0%,0%
Brynteg Farm,-,6.04,0,0,0,0,22.1064,0,0,0,0,-100%,0%,0%,0%
Court Coleman,-,10.46,0,0,0,0,38.2836,0,0,0,0,-100%,0%,0%,0%
Llwynddu,-,2.94,0,0,0,0,10.7604,0,0,0,0,-100%,0%,0%,0%
Abergelli Farm,-,54.63,0,0,0,0,199.9458,0,0,0,0,-100%,0%,0%,0%
Crug Mawr Farm,-,4.82,0,0,0,0,17.6412,0,0,0,0,-100%,0%,0%,0%
Yerbeston Chapel Hill,-,38.34,0,0,0,0,140.3244,0,0,0,0,-100%,0%,0%,0%
ABERAMAN 33kV GEN,-,135.38,0,0,0,0,495.4908,0,0,0,0,-100%,0%,0%,0%
Rhyd Y Pandy,-,5.25,0,0,0,0,19.215,0,0,0,0,-100%,0%,0%,0%
Haverford West PV,-,6.16,0,0,0,0,22.5456,0,0,0,0,-100%,0%,0%,0%
Blaenlliedi Farm,-,16.03,0,0,0,0,58.6698,0,0,0,0,-100%,0%,0%,0%
British Energy (Solutia CVA),-,8.17,0,0,0,0,29.9022,0,0,0,0,-100%,0%,0%,0%
GOWERTON EAST STOR 33kV GEN,-,26,0,0,0,0,95.16,0,0,0,0,-100%,0%,0%,0%
Full Circle HSE 66kV STOR,-,10.94,0,0,0,0,40.0404,0,0,0,0,-100%,0%,0%,0%
Lynfi 66kV Biomass,-,47.26,0,0,0,0,172.9716,0,0,0,0,-100%,0%,0%,0%
MATHERN STOR 33kV GEN,-,42.28,0,0,0,0,154.7448,0,0,0,0,-100%,0%,0%,0%
Rhoscrowther 132kV WF,-,6.99,0,0,0,0,25.5834,0,0,0,0,-100%,0%,0%,0%
TAFF ELY EXTENSION 33kV GEN,-,3.89,0,0,0,0,14.2374,0,0,0,0,-100%,0%,0%,0%
Camford,-,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Centrica Barry,-,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Pant Y Moch PV Boundary,-,7.23,6.28,0,0,0,26.4618,22.922,0,0,0,-13%,-100%,0%,0%
Corus Orb,-,3148.05,3210.92,0,0,0,11521.863,11719.858,0,0,0,2%,-100%,0%,0%
Murphy Oil,-,7617.39,7986.45,0,0,0,27879.6474,29150.5425,0,0,0,5%,-100%,0%,0%
Chevron,-,20763.12,30003.23,0,0,0,75993.0192,109511.7895,0,0,0,44%,-100%,0%,0%
Cenin Energy Park (ex Stormy Down),-,156.19,374.15,0,0,0,571.6554,1365.6475,0,0,0,139%,-100%,0%,0%
Brechfa Forest West Ext 132kV WF,-,5.85,5.97,0,0,0,21.411,21.7905,0,0,0,2%,-100%,0%,0%
Briton Ferry STOR,-,4.72,4.14,4.39,1251.34,0,17.2752,15.111,16.0235,4579.9044,0,-13%,6%,28482%,-100%
Hirwaun STOR,-,4.58,3.86,4.1,1386.65,0,16.7628,14.089,14.965,5075.139,0,-16%,6%,33813%,-100%
Tir John STOR,-,3.87,3.36,3.57,1239.65,0,14.1642,12.264,13.0305,4537.119,0,-13%,6%,34719%,-100%
