Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Coombeshead Farm,0,1.7,1.39,1.47,1.5,1.67,6.222,5.0735,5.3655,5.49,6.0955,-18%,6%,2%,11%
Walland Farm,0,13.8,11.11,11.71,11.86,13.12,50.508,40.5515,42.7415,43.4076,47.888,-20%,5%,2%,10%
Ashcombe,0,12.58,10.59,11.14,11.62,13.13,46.0428,38.6535,40.661,42.5292,47.9245,-16%,5%,5%,13%
Newnham Farm,0,34.73,32.62,34.21,39.49,46.46,127.1118,119.063,124.8665,144.5334,169.579,-6%,5%,16%,17%
Roskrow Barton PV,0,6.55,5.69,5.98,6.35,7.27,23.973,20.7685,21.827,23.241,26.5355,-13%,5%,6%,14%
Parkview Solar,1,6.55,5.38,5.66,1139.4,2586.2,23.973,19.637,20.659,4170.204,9439.63,-18%,5%,20086%,126%
Towerhead Farm,0,8.69,7.67,8.06,8.65,9.97,31.8054,27.9955,29.419,31.659,36.3905,-12%,5%,8%,15%
Rookery Farm,1,5.36,4.63,5.87,1140.8,2587.66,19.6176,16.8995,21.4255,4175.328,9444.959,-14%,27%,19388%,126%
Bystock Farm,0,132.13,119.21,125.16,136.07,158.2,483.5958,435.1165,456.834,498.0162,577.43,-10%,5%,9%,16%
Pylle PV Import Boundary,0,4.36,3.74,3.93,5.22,5.95,15.9576,13.651,14.3445,19.1052,21.7175,-14%,5%,33%,14%
Burthy PV,0,2.3,1.93,2.03,2.12,2.39,8.418,7.0445,7.4095,7.7592,8.7235,-16%,5%,5%,12%
Wilton Farm PV,0,18.94,17.33,5.16,7.14,7.85,69.3204,63.2545,18.834,26.1324,28.6525,-9%,-70%,39%,10%
Woodmanton (Coombe) Farm,0,9.78,8.84,10.42,10.11,11.53,35.7948,32.266,38.033,37.0026,42.0845,-10%,18%,-3%,14%
Higher Bye Farm,0,7.41,6.34,6.67,7.03,8,27.1206,23.141,24.3455,25.7298,29.2,-15%,5%,6%,13%
Wilton Farm WF,0,75.38,64.06,67.09,70.36,79.84,275.8908,233.819,244.8785,257.5176,291.416,-15%,5%,5%,13%
Denzell Downs WF,0,50.37,47.8,52.03,57.38,67.44,184.3542,174.47,189.9095,210.0108,246.156,-5%,9%,11%,17%
